aachen;akwizgran,
aal;wêgorz,
aalglatt;bardzo œliski,przebieg³y,
aar;orze³
aaron;aaron
aas;padlina,œcierwo,gnój,suka (wulg.),drañ,przynêta
aasgeier;œcierwnik,wyzyskiwacz,pijawka,hiena
aasgestank;zapach padliny
ab und zu;od czasu do czasu
ab;od (przy okreœlaniu czasu)
abändern;zmieniæ,przerobiæ
abänderung;zmiana
abart;odmiana,wariant
abartig;zboczony,perwersyjny
abbau;demonta¿,rozbiórka,redukcja,eksploatacja,rozk³ad,wydobycie,obni¿ka
abbaubar;ulegaj¹cy rozpadowi
abbeißen;odgryŸæ
abbekommen;dostawaæ,oddzielaæ,odklejaæ
abberufung;odwo³anie
abbezahlen;sp³acaæ (w ratach)
abbiegen;skrêcaæ,odginaæ,zapobiegaæ
abbild;wizerunek,odbicie
abbitte;proœba o wybaczenie
abblassen;bledn¹æ
abblättern;³uszczyæ siê
abblendlicht;œwiat³o mijania
abbrechen;od³amaæ,u³amaæ,zrywaæ,burzyæ,wyburzyæ,przerywaæ,koñczyæ
abbremsen;zahamowaæ,zmniejszyæ szybkoœæ
abbringen;odwodziæ
abbröckeln;odkruszaæ,zni¿kowaæ
abbruch;zawieszenie siê programu,rozbiórka
abbrühen;sparzyæ,oparzyæ
abbrummen;odsiadywaæ
abbuchen;odpisywaæ z konta
abbürsten;wyszczotkowaæ
abbüßen;odpokutowaæ
abdampfen;odparowaæ,wyparowaæ
abdanken;podawaæ siê do dymisji
abdankung;podanie siê do dymisji,rezygnacja ze stanowiska,abdykacja
abdecker;rakarz,hycel
abdichten;uszczelniæ
abdienen;ods³u¿yæ
abdrängen;odpychaæ,spychaæ
abdruck;odcisk,odbicie,przedruk,odbitka,reprodukcja
abdunkeln;przyciemniaæ,zaciemniaæ
abduschen;wzi¹æ prysznic
abecelich;alfabetycznie
abend brot;kolacja
abend essen;kolacja
abend;wieczór
abendbrot;kolacja
abenddämmerung;zmierzch
abendessen;kolacja
abendfüllend;pe³nometra¿owy
abendkleid;suknia wieczorowa
abendländisch;zachodni
abendlich;wieczorny
abendmahl;komunia
abendschule;szko³a wieczorowa
abendstern;gwiazda wieczorna
abenteuer;przygoda
abenteuerlich;pe³en przygód
abenteurer;poszukiwacz przygód,awanturnik (przest.)
abenteurerin;poszukiwaczka przygód,awanturnica (przest.)
aber;ale,lecz,zaœ,ale¿
aberglaube;przes¹d,zabobon
abergläubisch;przes¹dny,zabobonny
abermals;znowu,znów,ponownie
abfahrt;odjazd,odp³yniêcie,zjazd,szus
abfall;odpady
abfallbeseitigung;unieszkodliwienie odpadów
abfallend;spadzisty
abfallfrei;bezodpadowy
abfällig;ujemny,uw³aczaj¹cy
abfallprodukt;produkt odpadowy
abfalltonne;pojemnik na œmieci
abfallverbrennungsanlage;spalarnia odpadów
abfallverwertung;utylizacja,wykorzystanie odpadów
abfärben;puszczaæ farbê,wywieraæ wp³yw
abfassen;uk³adaæ,sporz¹dzaæ
abfegen;zamiataæ
abfeilen;opi³owywaæ,spi³owywaæ
abfertigen;odprawiaæ,dokonywaæ odprawy,obs³ugiwaæ
abfertigung;odprawa (pasa¿erów)
abfertigungshalle;sala odpraw
abfeuern;wystrzeliæ,daæ ognia,strzelaæ
abfindung;rekompensata,odszkodowanie
abflauen;s³abn¹æ
abflug;odlot
abflugzeit;czas odlotu
abfluss;odp³yw,spust
abfluß;odp³yw,spust
abflußrohr;rura odp³ywowa
abflussrohr;rura odp³ywowa
abfolge;kolejnoœæ
abfrage;zapytanie
abführen;odprowadzaæ,dzia³aæ rozwalniaj¹co
abführmittel;œrodek przeczyszczaj¹cy
abfüllen;rozlewaæ,butelkowaæ
abfuhr;wywózka,odmowa,odprawa,odejœæ z kwitkiem
abgabe;oddanie,zwrot,danina,op³ata,utrata (np. ciep³a)
abgas;spalina,gaz spalinowy
abgaskatalysator;katalizator spalin
abgebenfrei;wolny od podatku
abgebenpflichtig;podlegaj¹cy opodatkowaniu
abgebrüht;cyniczny,gruboskórny
abgefeimt;przebieg³y,cwany
abgegriffen;zu¿yty,znoszony
abgehetzt;wyczerpany,zmêczony
abgekämpft;wyczerpany
abgekartet;ukartowany
abgeklärt;dojrza³y,rozs¹dny
abgelegen;ustronny,odludny
abgemagert;wychudzony,wychud³y
abgeordnet;oddelegowany
abgerissen;podarty,obszarpany
abgerundet;zaokr¹glony
abgesandte;wys³annik
abgeschieden;samotny,ustronny
abgeschiedenheit;samotnoœæ,osamotnienie
abgeschlossen;zamkniêty,osobny,z osobnym wejœciem
abgespult;rozwiniêty
abgestorben;obumar³y
abgestoßen;odtr¹cony
abgestumpft;obojêtny,nieczu³y
abgezehrt;mizerny
abgleiten;zeœlizgiwaæ
abgrenzen;odgraniczaæ
abgrenzung;odgraniczenie
abgrund;przepaœæ,otch³añ
abgucken;podpatrywaæ,podejrzeæ
abguß;odlew,kopia
abguss;odlew,kopia
abhacken;odr¹baæ,œcinaæ
abhandlung;rozprawa,traktat
abhang;zbocze,stok
abhängig;zale¿ny,uzale¿niony
abhängigkeit;zale¿noœæ,uzale¿nienie
abhärten;zahartowaæ
abheilen;zagoiæ siê,goiæ siê,zabliŸniaæ siê
abhelfen;poradziæ
abhilfe;rada,œrodek zaradczy
abholung;odbiór,odebranie
abholzen;wycinaæ
abhöranlage;urz¹dzenie pods³uchowe,pods³uch
abhorchen;os³uchaæ,os³uchiwaæ
abhören;pods³uchiwaæ,nas³uchiwaæ
abhörgerät;pods³uch
abirren;zbaczaæ
abitur;egzamin dojrza³oœci,matura
abiturient;maturzysta
abiturientin;maturzystka
abk.;skrót,skr.
abkassieren;inkasowaæ
abkaufen;odkupywaæ
abklatsch;kopia (z³a)
abklingen;s³abn¹æ,zanikaæ,przemijaæ
abklopfen;otrzepywaæ,op³ukiwaæ
